City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,lavrentiya,65.5833,-171.0,-14.39,90,100,3.98,RU,1675720738
191,labu-o,7.1142,125.0453,72.45,87,98,2.06,PH,1675720738
192,ilulissat,69.2167,-51.1,-7.2,98,100,4.27,GL,1675720740
193,victoriaville,46.0501,-71.9658,12.24,94,94,3.06,CA,1675720549
194,saldanha,-33.0117,17.9442,66.25,97,76,15.86,ZA,1675720609
195,constitucion,-35.3333,-72.4167,68.02,65,23,13.73,CL,1675720741
196,alice springs,-23.7,133.8833,69.35,52,4,6.91,AU,1675720494
197,itarema,-2.9248,-39.9167,78.93,79,100,10.25,BR,1675720240
198,mackenzie,55.2999,-123.1698,37.62,75,100,19.57,CA,1675720742
199,warrington,53.3925,-2.5802,39.97,85,0,3.44,GB,1675720742
200,namtsy,62.7161,129.6658,-48.77,100,96,2.46,RU,1675720743
201,carballo,43.213,-8.691,47.86,72,0,5.03,ES,1675720743
202,okha,53.5739,142.9478,-20.09,100,68,7.96,RU,1675720744
203,ponta delgada,37.7333,-25.6667,57.92,88,75,16.11,PT,1675720744
204,buraydah,26.326,43.975,61.25,39,100,7.05,SA,1675720745
205,port elizabeth,-33.918,25.5701,74.1,97,20,4.61,ZA,1675720745
206,tyumentsevo,53.3224,81.498,11.03,95,99,9.1,RU,1675720746
207,manubul,5.4732,120.7986,80.91,73,35,2.39,PH,1675720746
208,gao,16.6362,1.637,79.84,11,96,9.48,ML,1675720747
209,matara,5.9485,80.5353,75.24,89,100,2.84,LK,1675720747
210,comodoro rivadavia,-45.8667,-67.5,71.46,43,0,13.8,AR,1675720748
211,majene,-3.5403,118.9707,76.66,77,100,5.28,ID,1675720749
212,yumen,40.2833,97.2,25.0,46,79,8.3,CN,1675720749
213,kyabe,9.4515,18.9449,81.34,12,63,5.66,TD,1675720750
214,petropavlovsk-kamchatskiy,53.0452,158.6483,3.79,72,75,6.71,RU,1675720543
215,sidi ali,36.0998,0.4206,48.07,83,0,9.91,DZ,1675720754
216,hamilton,39.1834,-84.5333,49.75,51,0,4.0,US,1675720734
217,morondava,-20.2833,44.2833,77.86,83,100,5.91,MG,1675720739
218,sisimiut,66.9395,-53.6735,-3.59,92,100,5.68,GL,1675720755
219,saverne,48.8333,7.25,34.3,88,23,8.41,FR,1675720756
220,camacha,33.0833,-16.3333,56.62,51,75,19.57,PT,1675720756
221,houma,29.5958,-90.7195,71.6,61,1,11.45,US,1675720757
222,dunedin,-45.8742,170.5036,69.21,47,3,6.13,NZ,1675720757
223,souillac,-20.5167,57.5167,79.18,89,75,11.5,MU,1675720758
224,waycross,31.2136,-82.354,71.85,30,0,3.44,US,1675720759
225,victoria,22.2855,114.1577,68.95,90,99,5.01,HK,1675720760
226,necochea,-38.5473,-58.7368,66.88,53,23,17.94,AR,1675720760
227,vilhena,-12.7406,-60.1458,73.62,88,20,10.36,BR,1675720761
228,morgaushi,55.9643,46.7743,6.96,100,100,3.94,RU,1675720761
229,fomboni,-12.28,43.7425,82.49,77,100,13.38,KM,1675720762
230,beloha,-25.1667,45.05,73.81,85,100,11.1,MG,1675720534
231,hualmay,-11.0964,-77.6139,75.92,76,55,7.72,PE,1675720601
232,alzamay,55.5562,98.6644,-11.25,100,86,2.26,RU,1675720763
233,abu road,24.4833,72.7833,63.72,49,0,2.66,IN,1675720764
234,moose factory,51.2585,-80.6094,15.8,62,20,13.8,CA,1675720764
235,acapulco,16.8634,-99.8901,83.23,60,0,10.2,MX,1675720724
236,chinchani,19.8667,72.7,69.93,73,0,5.84,IN,1675720766
237,ambulu,-8.345,113.6058,75.18,92,100,4.97,ID,1675720767
238,kichera,55.9375,110.0997,6.58,97,100,1.92,RU,1675720768
239,lianran,24.9227,102.485,48.74,44,1,2.37,CN,1675720769
240,ayan,56.45,138.1667,-17.88,80,27,9.04,RU,1675720769
241,castro,-24.7911,-50.0119,70.25,63,48,1.54,BR,1675720771
242,bandarbeyla,9.4942,50.8122,74.79,76,77,12.97,SO,1675720692
243,chaozhou,23.6651,116.6379,62.46,93,17,1.45,CN,1675720774
244,svetlaya,46.5389,138.3297,7.12,78,0,5.93,RU,1675720775
245,bahia blanca,-38.7196,-62.2724,84.72,54,40,10.36,AR,1675720775
246,puerto madero,14.7208,-92.4215,86.2,66,0,9.22,MX,1675720776
247,provideniya,64.3833,-173.3,-0.29,71,75,8.95,RU,1675720275
248,madison,34.7334,-86.5667,64.78,31,0,3.44,US,1675720778
249,ushtobe,45.2514,77.9838,29.79,90,100,3.51,KZ,1675720779
250,port macquarie,-31.4333,152.9167,77.9,70,48,2.19,AU,1675720780
251,weligama,5.9667,80.4167,75.6,88,100,2.59,LK,1675720780
252,constantine,36.365,6.6147,45.81,87,75,4.61,DZ,1675720781
253,norman wells,65.282,-126.8329,-14.76,76,75,5.75,CA,1675720630
254,yenagoa,4.9247,6.2642,79.57,82,29,5.44,NG,1675720782
255,arlit,18.7369,7.3853,73.02,13,100,8.95,NE,1675720782
256,zabol,32.25,67.25,33.1,65,4,1.14,AF,1675720783
257,derzhavinsk,51.1,66.3167,4.19,96,92,7.38,KZ,1675720306
258,nikolskoye,59.7035,30.7861,28.29,98,93,3.56,RU,1675720199
259,yangcun,39.3639,117.0603,19.38,66,0,5.41,CN,1675720784
260,kingaroy,-26.5333,151.8333,71.35,68,71,10.51,AU,1675720785
261,tabou,4.423,-7.3528,79.52,82,100,9.22,CI,1675720785
262,chyhyryn,49.0838,32.6555,25.12,81,100,12.26,UA,1675720786
263,santa cruz de la palma,28.6835,-17.7642,62.74,63,0,17.27,ES,1675720786
264,svetlogorsk,52.6333,29.7333,25.84,97,100,6.44,BY,1675720787
265,oranjemund,-28.55,16.4333,65.61,96,78,8.52,NA,1675720788
266,hithadhoo,-0.6,73.0833,81.18,71,72,12.28,MV,1675720789
267,tuatapere,-46.1333,167.6833,58.6,87,94,8.63,NZ,1675720200
268,makati,14.5569,121.0235,76.82,88,40,2.3,PH,1675720789
269,atar,20.5169,-13.0499,64.22,24,0,8.95,MR,1675720406
270,ravar,31.2656,56.8055,52.12,34,54,4.25,IR,1675720598
271,ayagoz,47.9714,80.4392,22.46,97,98,7.25,KZ,1675720791
272,faanui,-16.4833,-151.75,81.25,75,8,16.04,PF,1675720791
273,ormara,25.2088,64.6357,70.79,59,3,10.31,PK,1675720792
274,bilibino,68.0546,166.4372,-36.44,100,99,1.16,RU,1675720793
275,solnechnyy,50.7214,136.6319,-7.83,98,100,3.04,RU,1675720793
276,palmer,42.1584,-72.3287,42.51,58,75,18.41,US,1675720794
277,bali chak,22.3667,87.55,64.15,89,11,4.7,IN,1675720795
278,tres lagoas,-20.7511,-51.6783,77.02,81,96,3.76,BR,1675720796
